GAME_ID,TEAM_ID,TEAM_NAME,SEASON_ID,MATCHUP,WIN,BUBBLE,PERSON_ID,PLAYER_FIRST,PLAYER_LAST,TEAM_CITY,HOME_TEAM,STARTING_5,DURATION,PLAYTIME_PP_PG,MIN 01,MIN 02,MIN 03,MIN 04,MIN 05,MIN 06,MIN 07,MIN 08,MIN 09,MIN 10,MIN 11,MIN 12,MIN 13,MIN 14,MIN 15,MIN 16,MIN 17,MIN 18,MIN 19,MIN 20,MIN 21,MIN 22,MIN 23,MIN 24,MIN 25,MIN 26,MIN 27,MIN 28,MIN 29,MIN 30,MIN 31,MIN 32,MIN 33,MIN 34,MIN 35,MIN 36,MIN 37,MIN 38,MIN 39,MIN 40,MIN 41,MIN 42,MIN 43,MIN 44,MIN 45,MIN 46,MIN 47,MIN 48
41600156,1610612759,Spurs,42016,SAS @ MEM,1,0,203613,Jonathon,Simmons,San Antonio,0,False,242.55,485.1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
41600156,1610612763,Grizzlies,42016,MEM vs. SAS,0,0,1713,Vince,Carter,Memphis,1,True,386.6,1933.0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1
41600156,1610612763,Grizzlies,42016,MEM vs. SAS,0,0,2216,Zach,Randolph,Memphis,1,True,461.16,2305.8,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1
41600156,1610612763,Grizzlies,42016,MEM vs. SAS,0,0,201144,Mike,Conley,Memphis,1,True,898.0,2694.0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
41600156,1610612763,Grizzlies,42016,MEM vs. SAS,0,0,201188,Marc,Gasol,Memphis,1,True,1346.0,2692.0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
41600156,1610612763,Grizzlies,42016,MEM vs. SAS,0,0,203210,JaMychal,Green,Memphis,1,False,163.43999999999997,817.1999999999998,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
41600156,1610612763,Grizzlies,42016,MEM vs. SAS,0,0,203516,James,Ennis III,Memphis,1,True,346.43999999999994,1732.2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0
41600156,1610612763,Grizzlies,42016,MEM vs. SAS,0,0,203584,Troy,Daniels,Memphis,1,False,253.56000000000003,1267.8000000000002,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1
41600156,1610612763,Grizzlies,42016,MEM vs. SAS,0,0,1626150,Andrew,Harrison,Memphis,1,False,239.0,478.0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41600156,1610612763,Grizzlies,42016,MEM vs. SAS,0,0,1627782,Wayne,Selden,Memphis,1,False,240.0,480.0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41600161,1610612745,Rockets,42016,HOU vs. OKC,1,0,2403,Nene,Hilario,Houston,1,False,281.75,1127.0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0
41600161,1610612745,Rockets,42016,HOU vs. OKC,1,0,2772,Trevor,Ariza,Houston,1,True,643.6666666666666,1931.0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0
41600161,1610612745,Rockets,42016,HOU vs. OKC,1,0,101150,Lou,Williams,Houston,1,False,516.0,1548.0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
